"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"gen_att",1,5302,1.9405758833146,0.603192196690977,2,1.91736518580616,0.59304,1,4,3,0.376988338435499,-0.0971898612531374,0.00828391917449965
"age",2,5308,27.0789374529013,7.20589970909466,25,26.6155295102553,5.9304,15,60,45,0.958124626994702,0.627102929697472,0.098906026868964
